Member,Party,Type of Peerage,Vote
"Baroness Alexander of Cleveden","Labour","Life peer","Not Content"
"Baroness Altmann","Non-affiliated","Life peer","Not Content"
"Lord Anderson of Ipswich","Crossbench","Life peer","Not Content"
"Baroness Anderson of Stoke-on-Trent","Labour","Life peer","Not Content"
"Lord Anderson of Swansea","Labour","Life peer","Not Content"
"Baroness Andrews","Labour","Life peer","Not Content"
"Lord Austin of Dudley","Non-affiliated","Life peer","Not Content"
"Lord Bach","Labour","Life peer","Not Content"
"Lord Barber of Ainsdale","Labour","Life peer","Not Content"
"Baroness Barran","Conservative","Life peer","Not Content"
"Lord Bassam of Brighton","Labour","Life peer","Not Content"
"Lord Bates","Conservative","Life peer","Not Content"
"Lord Bellamy","Conservative","Life peer","Not Content"
"Baroness Bennett of Manor Castle","Green Party","Life peer","Teller - Content"
"Baroness Berger","Labour","Life peer","Not Content"
"Lord Berkeley of Knighton","Crossbench","Life peer","Not Content"
"Lord Black of Brentwood","Conservative","Life peer","Not Content"
"Baroness Blake of Leeds","Labour","Life peer","Not Content"
"Lord Blunkett","Labour","Life peer","Not Content"
"Baroness Bottomley of Nettlestone","Conservative","Life peer","Not Content"
"Lord Brady of Altrincham","Conservative","Life peer","Not Content"
"Baroness Brown of Silvertown","Labour","Life peer","Not Content"
"Lord Browne of Ladyton","Labour","Life peer","Not Content"
"Baroness Caine of Kentish Town","Labour","Life peer","Not Content"
"Lord Campbell-Savours","Labour","Life peer","Not Content"
"Baroness Carberry of Muswell Hill","Labour","Life peer","Not Content"
"Lord Carlile of Berriew","Crossbench","Life peer","Not Content"
"Baroness Cash","Conservative","Life peer","Not Content"
"Lord Cashman","Non-affiliated","Life peer","Content"
"Baroness Cass","Crossbench","Life peer","Not Content"
"Viscount Chandos","Labour","Life peer","Not Content"
"Lord Clement-Jones","Liberal Democrat","Life peer","Content"
"Lord Coaker","Labour","Life peer","Not Content"
"Baroness Coffey","Conservative","Life peer","Not Content"
"Lord Collins of Highbury","Labour","Life peer","Not Content"
"The Earl of Courtown","Conservative","Excepted Hereditary","Not Content"
"Lord Crisp","Crossbench","Life peer","Not Content"
"Baroness D'Souza","Crossbench","Life peer","Content"
"Lord Davies of Gower","Conservative","Life peer","Not Content"
"The Earl of Dundee","Conservative","Excepted Hereditary","Not Content"
"The Earl of Effingham","Conservative","Excepted Hereditary","Not Content"
"Baroness Elliott of Whitburn Bay","Labour","Life peer","Not Content"
"Lord Evans of Rainow","Conservative","Life peer","Not Content"
"Lord Evans of Sealand","Labour","Life peer","Not Content"
"Lord Falconer of Thoroton","Labour","Life peer","Not Content"
"Baroness Falkner of Margravine","Crossbench","Life peer","Not Content"
"Baroness Finn","Conservative","Life peer","Not Content"
"Baroness Foster of Aghadrumsee","Non-affiliated","Life peer","Not Content"
"Baroness Fox of Buckley","Non-affiliated","Life peer","Content"
"Lord Freyberg","Crossbench","Excepted Hereditary","Content"
"Lord Frost","Conservative","Life peer","Not Content"
"Lord Glasman","Labour","Life peer","Not Content"
"Lord Gold","Conservative","Life peer","Not Content"
"Lord Goldsmith","Labour","Life peer","Not Content"
"Baroness Goudie","Labour","Life peer","Not Content"
"Lord Grantchester","Labour","Excepted Hereditary","Not Content"
"Baroness Griffin of Princethorpe","Labour","Life peer","Not Content"
"Lord Hacking","Labour","Excepted Hereditary","Not Content"
"Lord Hain","Labour","Life peer","Content"
"Lord Hampton","Crossbench","Excepted Hereditary","Not Content"
"Lord Hanson of Flint","Labour","Life peer","Not Content"
"Baroness Harman","Labour","Life peer","Not Content"
"Lord Harper","Conservative","Life peer","Not Content"
"Lord Hart of Tenby","Conservative","Life peer","Not Content"
"Lord Hendy","Labour","Life peer","Content"
"Lord Hermer","Labour","Life peer","Not Content"
"Baroness Hodge of Barking","Labour","Life peer","Not Content"
"Baroness Hooper","Conservative","Life peer","Not Content"
"Lord Howarth of Newport","Labour","Life peer","Not Content"
"Lord Howell of Guildford","Conservative","Life peer","Not Content"
"Baroness Hunt of Bethnal Green","Crossbench","Life peer","Not Content"
"Lord Jackson of Peterborough","Conservative","Life peer","Not Content"
