# Socialist Campaign Group
Diane Abbott
Tahir Ali
Apsana Begum
Olivia Blake
Richard Burgon
Dawn Butler
Ian Byrne
Marsha de Cordova
Mary Kelly Foy
Imran Hussain
Kim Johnson
Ian Lavery
Brian Leishman
Clive Lewis
Rebecca Long-Bailey
Rachael Maskell
Andy McDonald
John McDonnell
Grahame Morris
Kate Osborne
Kate Osamor
Bell Ribeiro-Addy
Zarah Sultana
Jon Trickett
Nadia Whittome
Steve Witherden

# Gaza independents
Shockat Adam
Jeremy Corbyn
Adnan Hussain
Iqbal Mohamed
Ayoub Khan

# Conservative friends of Israel
Lord Arbuthnot of Edrom
Graham Brady
Alistair Burt
David Cameron
James Clappison
Stephen Crabb
Steve Double
Iain Duncan-Smith
Lord Hague of Richmond
Robert Halfon
Lord Harrington
Lord Kalms
Sajid Javid
Stuart Polak
Priti Patel
Lord Pickles
Sir Malcolm Rifkind
Sheryll Murray
Greg Smith
Theresa Villiers
Philip Hollobone

# Labour friends of Israel
Fleur Anderson
Hilary Benn
Nick Brown
Chris Bryant
Liam Byrne
Neil Coyle
Feryal Clark
Yvette Cooper
Jon Cruddas
Janet Daby
Wayne David
Angela Eagle
Maria Eagle
Chris Elmore
Florence Eshalomi
Barry Gardiner
Preet Gill
Mary Glindon
Lilian Greenwood
Nia Griffith
Carolyn Harris
Fabian Hamilton
Margaret Hodge
George Howarth
Dan Jarvis
Darren Jones
Kevan Jones
Mike Kane
Liz Kendall
David Lammy
Kim Leadbeater
Chris Matheson
Siobhain McDonagh
Stephen Morgan
Alex Norris
Taiwo Owatemi
Toby Perkins
Jess Phillips
Bridget Phillipson
Lucy Powell
Virendra Sharma
Barry Sheerman
Jeff Smith
Karin Smyth
Keir Starmer
Wes Streeting
Graham Stringer
Gareth Thomas
Emily Thornberry
Karl Turner
Derek Twigg
Christian Wakeford
Rosie Winterton

# Speaker
Lindsay Hoyle
