Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address
Voice message,2072193775,Lord Low of Dalston,FALSE,contactholmember@parliament.uk,Crossbench,1,,,3803,Low,of Dalston,2072193775,,
No answer only email,004420 7219 5353,Baroness Fox of Buckley,FALSE,foxcr@parliament.uk,Non-affiliated,1,,,4887,Baroness,Fox of Buckley,020 7219 5353,,
"Number not parlimentary office, but in London",020 3432 9891,Lord Carlile of Berriew,FALSE,carlilea@parliament.uk,Crossbench,1,,,1138,Carlile,of Berriew,020 3432 9891,,
Voicemail,020 7219 0520,Baroness Hollins,FALSE,hollinss@parliament.uk,Crossbench,1,,,4190,Baroness,Hollins,020 7219 0520,,
Is attending - writing a speech,020 7219 0926,Baroness Doocey,FALSE,dooceyd@parliament.uk,Liberal Democrat,1,,,4197,Baroness,Doocey,020 7219 0926,,
No voicemail facility,020 7219 1492,Baroness Kramer,FALSE,kramers@parliament.uk,Liberal Democrat,1,,,1557,Baroness,Kramer,020 7219 1492,,
Immediate cut-off,020 7219 1668,Viscount Brookeborough,FALSE,contactholmember@parliament.uk,Crossbench,1,,,3333,Viscount,Brookeborough,020 7219 1668,,
Voicemail,020 7219 2200,Lord Craig of Radley,FALSE,craigd@parliament.uk,Crossbench,1,,,3385,Craig,of Radley,020 7219 2200,,
Voice message,020 7219 2530,Lord Cameron of Dillington,FALSE,camerone@parliament.uk,Crossbench,1,,,3705,Cameron,of Dillington,020 7219 2530,,
Voice message,020 7219 2561,Lord Palmer of Childs Hill,FALSE,palmerm@parliament.uk,Liberal Democrat,1,,,4214,Palmer,of Childs Hill,020 7219 2561,,
Immediate cut-off,020 7219 2716,Baroness Neuberger,FALSE,neubergerj@parliament.uk,Crossbench,1,,,3690,Baroness,Neuberger,020 7219 2716,,
Voicemail,020 7219 2747,Baroness Garden of Frognal,FALSE,gardens@parliament.uk,Liberal Democrat,1,,,3842,Baroness,Garden of Frognal,020 7219 2747,,
voicemail left,020 7219 2809,Baroness Falkner of Margravine,FALSE,falknerk@parliament.uk,Crossbench,1,,,3670,Baroness,Falkner of Margravine,020 7219 2809,,
Voicemail,020 7219 2955,Baroness Barker,FALSE,contactholmember@parliament.uk,Liberal Democrat,1,,,2501,Baroness,Barker,020 7219 2955,,
Phone number not working,020 7219 2964,Lord Stephen,FALSE,stephenn@parliament.uk,Liberal Democrat,1,,,4239,Lord,Stephen,020 7219 2964,,
call didnt go thro,020 7219 3000,Baroness Altmann,FALSE,altmannr@parliament.uk,Non-affiliated,1,,,4533,Baroness,Altmann,020 7219 3000,,
switchboard,020 7219 3000,Lord Kakkar,FALSE,contactholmember@parliament.uk,Crossbench,1,,,3766,Lord,Kakkar,020 7219 3000,,
call did not go thro,020 7219 3000,Lord Razzall,FALSE,contactholmember@parliament.uk,Liberal Democrat,1,,,3275,Lord,Razzall,020 7219 3000,,
Email only ,020 7219 3000,Lord Butler of Brockwell,FALSE,lord.butler@univ.ox.ac.uk,Crossbench,1,,,3337,Butler,of Brockwell,020 7219 3000,,
Email only - NEY,020 7219 3000,Lord Young of Old Windsor,FALSE,contactholmember@parliament.uk,Crossbench,1,,,4982,Young,of Old Windsor,020 7219 3000,,
Voicemail,020 7219 3125,Lord Wallace of Saltaire,FALSE,wallacew@parliament.uk,Liberal Democrat,1,,,1816,Wallace,of Saltaire,020 7219 3125,,
"❤️ Done, Promised to speak to colleagues, though busy herelf on welfare reform",020 7219 3143,Baroness Grey-Thompson,FALSE,greythompsont@parliament.uk,Crossbench,1,,,3862,Baroness,Grey-Thompson,020 7219 3143,,
calling,020 7219 3156,Baroness Butler-Sloss,FALSE,butlerslosse@parliament.uk,Crossbench,1,,,3804,Baroness,Butler-Sloss,020 7219 3156,,
spoke to some one- he wont be in house today,020 7219 3156,Lord Morse,FALSE,morsea@parliament.uk,Crossbench,1,,,4914,Lord,Morse,020 7219 3156,,
Away - cannot attend,020 7219 3156,Lord Woolf,FALSE,contactholmember@parliament.uk,Crossbench,1,,,1773,Lord,Woolf,020 7219 3156,,
No attending,020 7219 3156,Lord Jay of Ewelme,FALSE,jaymh@parliament.uk,Crossbench,1,,,3818,Jay,of Ewelme,020 7219 3156,,
No answer,020 7219 3156,Lord Burnett of Maldon,FALSE,burnetti@parliament.uk,Crossbench,1,,,4691,Burnett,of Maldon,020 7219 3156,,
Voicemail,020 7219 3190,Lord Inglewood,FALSE,inglewoodw@parliament.uk,Crossbench,1,,,1980,Lord,Inglewood,020 7219 3190,,
Voice message,020 7219 3214,Baroness Smith of Newnham,FALSE,jes42@parliament.uk,Liberal Democrat,1,,,4323,Baroness,Smith of Newnham,020 7219 3214,,
Voice message left,020 7219 3215,Lord Fox,FALSE,contactholmember@parliament.uk,Liberal Democrat,1,,,4322,Lord,Fox,020 7219 3215,,
Voicemail,020 7219 3526,Lord Wallace of Tankerness,FALSE,wallacej@parliament.uk,Liberal Democrat,1,,,630,Wallace,of Tankerness,020 7219 3526,,
call doesnt go thro,020 7219 3540,Lord Beith,FALSE,beithalanj@gmail.com,Liberal Democrat,1,,,513,Lord,Beith,020 7219 3540,,
call goes through but voice mail says email only,020 7219 3551,Lord Alton of Liverpool,FALSE,altond@parliament.uk,Crossbench,1,,,738,Alton,of Liverpool,020 7219 3551,,
can't make it,020 7219 3670,Baroness D'Souza,FALSE,dsouzaf@parliament.uk,Crossbench,1,,,3709,Baroness,D'Souza,020 7219 3670,,
calling,020 7219 3884,The Earl of Cork and Orrery,FALSE,corkj@parliament.uk,Crossbench,1,,,4574,The,Earl of Cork and Orrery,020 7219 3884,,
Voice message,020 7219 4195,Baroness Parminter,FALSE,parminterk@parliament.uk,Liberal Democrat,1,,,4178,Baroness,Parminter,020 7219 4195,,
no answer  - immediate cutoff,020 7219 5021,Lord Wigley,FALSE,contactholmember@parliament.uk,Plaid Cymru,1,,,547,Lord,Wigley,020 7219 5021,,
voicemail left,020 7219 5083,Baroness Hayman,FALSE,haymanh@parliament.uk,Crossbench,1,,,1649,Baroness,Hayman,020 7219 5083,,
Voice message left ,020 7219 5101,Lord Freyberg,FALSE,freybergv@parliament.uk,Crossbench,1,,,2593,Lord,Freyberg,020 7219 5101,,
voicemail left,020 7219 5124,Baroness Campbell of Surbiton,FALSE,campbelljs@parliament.uk,Crossbench,1,,,3831,Baroness,Campbell of Surbiton,020 7219 5124,,
answered by staff member who can't put you through - try emailing,020 7219 5353 /01277 352001,The Lord Bishop of Chelmsford,FALSE,Bishop.Chelmsford@chelmsford.anglican.org,Bishops,1,,,4922,The,Bishop of Chelmsford,020 7219 5353 / 01277 352001,,
voicemail,020 7219 5443,Lord McNally,FALSE,mcnallyt@parliament.uk,Liberal Democrat,1,,,919,Lord,McNally,020 7219 5443,,
No answer,020 7219 5459,Baroness Watkins of Tavistock,FALSE,watkinsm@parliament.uk,Crossbench,1,,,4566,Baroness,Watkins of Tavistock,020 7219 5459,,
Really receptive ❤️,020 7219 5463,Baroness Brown of Cambridge,FALSE,kingjb@parliament.uk,Crossbench,1,,,4565,Baroness,Brown of Cambridge,020 7219 5463,,
hangs up automatically ,020 7219 5678,Lord Cromwell,FALSE,cromwellg@parliament.uk,Crossbench,1,,,2594,Lord,Cromwell,020 7219 5678,,
Voice message,020 7219 5709,Lord Willis of Knaresborough,FALSE,willisg@parliament.uk,Liberal Democrat,1,,,4151,Willis,of Knaresborough,020 7219 5709,,
Voice message,020 7219 5991,Lord Wrigglesworth,FALSE,younglo@parliament.uk,Crossbench,1,,,3696,Baroness,Young of Hornsey,020 7219 5991,,
Voice message,020 7219 6047,Baroness Walmsley,FALSE,walmsleyj@parliament.uk,Liberal Democrat,1,,,2547,Baroness,Walmsley,020 7219 6047,,
Voicemail,020 7219 6067,Lord Hoffmann,FALSE,hoffmann@parliament.uk,Crossbench,1,,,2633,Lord,Hoffmann,020 7219 6067,,
Lost connection because he was on the underground- left VM - abstaining 'should be done individually ' not sure what that means but he hung up,020 7219 6563,Lord Goddard of Stockport,FALSE,goddardd@parliament.uk,Liberal Democrat,1,,,4334,Goddard,of Stockport,020 7219 6563,,
voicemail left,020 7219 6693,Baroness Finlay of Llandaff,FALSE,finlayi@parliament.uk,Crossbench,1,,,3609,Baroness,Finlay of Llandaff,020 7219 6693,,
Voice message,020 7219 6717; Fax.020 7219 2458,Lord Rennard,FALSE,rennardc@parliament.uk,Liberal Democrat,1,,,2484,Lord,Rennard,020 7219 6717; Fax.020 7219 2458,,
Voicemail left,020 7219 6799,Lord Best,FALSE,best@parliament.uk,Crossbench,1,,,3605,Lord,Best,020 7219 6799,,
Voicemail left ,020 7219 6861,Lord Aberdare,FALSE,aberdarea@parliament.uk,Crossbench,1,,,3898,Lord,Aberdare,020 7219 6861,,
Voicemail left,020 7219 8269,Baroness Burt of Solihull,FALSE,burtl@parliament.uk,Liberal Democrat,1,,,1567,Baroness,Burt of Solihull,020 7219 8269,,
Phone number not working,020 7219 8308,Lord Hope of Craighead,FALSE,hopejad@parliament.uk,Crossbench,1,,,2004,Hope,of Craighead,020 7219 8308,,
Number doesnt work,020 7219 8310,Baroness Bakewell of Hardington Mandeville,FALSE,bakewellc@parliament.uk,Liberal Democrat,1,,,4285,Baroness,Bakewell of Hardington Mandeville,020 7219 8310,,
voicemail,020 7219 8501,Lord Newby,FALSE,newbyr@parliament.uk,Liberal Democrat,1,,,1916,Lord,Newby,020 7219 8501,,
"🔥 Against; She is going in, was unaware it was today",020 7219 8506,Baroness Uddin,FALSE,uddinm@parliament.uk,Non-affiliated,1,Against,,1827,Baroness,Uddin,020 7219 8506,,
voicemail,020 7219 8621,Lord Bradshaw,FALSE,bradshaww@parliament.uk,Liberal Democrat,1,,,2483,Lord,Bradshaw,020 7219 8621,,
Voicemail,020 7219 8623,Baroness Northover,FALSE,northoverl@parliament.uk,Liberal Democrat,1,,,2539,Baroness,Northover,020 7219 8623,,
"Former police officer, skipping",020 7219 8632,Lord Mackenzie of Framwellgate,FALSE,contactholmember@parliament.uk,Non-affiliated,1,,,1881,Mackenzie,of Framwellgate,020 7219 8632,,
Voicemail,020 7219 8723,Lord Birt,FALSE,birtj@parliament.uk,Crossbench,1,,,2533,Lord,Birt,020 7219 8723,,
Voicemail,020 7219 8724,Baroness O'Loan,FALSE,oloann@parliament.uk,Crossbench,1,,,3902,Baroness,O'Loan,020 7219 8724,,
Voice message,020 7219 8739,Lord Roberts of Llandudno,FALSE,contactholmember@parliament.uk,Liberal Democrat,1,,,3691,Roberts,of Llandudno,020 7219 8739,,
Phone number not working,020 7219 8743,Lord Wrigglesworth,FALSE,wrigglesworthi@parliament.uk,Liberal Democrat,1,,,965,Lord,Wrigglesworth,020 7219 8743,,
number not working,020 7219 8892,Lord Carrington,FALSE,carringtonr@parliament.uk,Crossbench,1,,,4712,Lord,Carrington,020 7219 8892,,
nonanswer,020 7219 8901,Baroness Benjamin,FALSE,benjaminf@parliament.uk,Liberal Democrat,1,,,4167,Baroness,Benjamin,020 7219 8901,,
Voicemail left,020 7219 8907,Lord Laming,FALSE,lamingh@parliament.uk,Crossbench,1,,,2079,Lord,Laming,020 7219 8907,,
number not working,020 7219 8949,Lord Dannatt,FALSE,dannattr@parliament.uk,Crossbench,1,,,4220,Lord,Dannatt,020 7219 8949,,
Voice message,020 7219 8952,Lord Curry of Kirkharle,FALSE,curryd@parliament.uk,Crossbench,1,,,4250,Curry,of Kirkharle,020 7219 8952,,
