Mark when done ⬇️⬇️⬇️,Phone number (might be a switchboard),Full name,Email sent?,Email address (only if you can't reach them by phone),Party_x,Priority,Position,Government position,id_parliament,First name,Last name,Parliamentary phone number,Constituency phone number,Constituency email address,Member,Party_y,Type of Peerage,Vote
Voice message,2072193775,Lord Low of Dalston,False,contactholmember@parliament.uk,Crossbench,1,,,3803,Low,of Dalston,2072193775,,,,,,
No answer only email,004420 7219 5353,Baroness Fox of Buckley,False,foxcr@parliament.uk,Non-affiliated,1,,,4887,Baroness,Fox of Buckley,020 7219 5353,,,Baroness Fox of Buckley,Non-affiliated,Life peer,Content
"Number not parlimentary office, but in London",020 3432 9891,Lord Carlile of Berriew,False,carlilea@parliament.uk,Crossbench,1,,,1138,Carlile,of Berriew,020 3432 9891,,,Lord Carlile of Berriew,Crossbench,Life peer,Not Content
Voicemail,020 7219 0520,Baroness Hollins,False,hollinss@parliament.uk,Crossbench,1,,,4190,Baroness,Hollins,020 7219 0520,,,,,,
Is attending - writing a speech,020 7219 0926,Baroness Doocey,False,dooceyd@parliament.uk,Liberal Democrat,1,,,4197,Baroness,Doocey,020 7219 0926,,,,,,
No voicemail facility,020 7219 1492,Baroness Kramer,False,kramers@parliament.uk,Liberal Democrat,1,,,1557,Baroness,Kramer,020 7219 1492,,,,,,
Immediate cut-off,020 7219 1668,Viscount Brookeborough,False,contactholmember@parliament.uk,Crossbench,1,,,3333,Viscount,Brookeborough,020 7219 1668,,,,,,
Voicemail,020 7219 2200,Lord Craig of Radley,False,craigd@parliament.uk,Crossbench,1,,,3385,Craig,of Radley,020 7219 2200,,,,,,
Voice message,020 7219 2530,Lord Cameron of Dillington,False,camerone@parliament.uk,Crossbench,1,,,3705,Cameron,of Dillington,020 7219 2530,,,,,,
Voice message,020 7219 2561,Lord Palmer of Childs Hill,False,palmerm@parliament.uk,Liberal Democrat,1,,,4214,Palmer,of Childs Hill,020 7219 2561,,,Lord Palmer of Childs Hill,Liberal Democrat,Life peer,Not Content
Immediate cut-off,020 7219 2716,Baroness Neuberger,False,neubergerj@parliament.uk,Crossbench,1,,,3690,Baroness,Neuberger,020 7219 2716,,,,,,
