given_name,family_name,other_names,display_name,full_title,gender,date_of_birth,date_of_death,phoneNumber
Lyn,Brown,,Baroness Brown of Silvertown,The Baroness Brown of Silvertown,Female,,,
Margaret,Hodge,,Baroness Hodge of Barking,The Rt Hon. the Baroness Hodge of Barking DBE,Female,,,
Elizabeth,Truss,Mary,Elizabeth Truss,Rt Hon Elizabeth Truss,Female,,,
Maria,Miller,Frances Lewis,Dame Maria Miller,Rt Hon Dame Maria Miller,Female,,,
Esther,McVey,Louise,Esther McVey,Rt Hon Esther McVey MP,Female,,,
Penelope,Mordaunt,Mary,Penny Mordaunt,Rt Hon Penny Mordaunt,Female,,,
Sharon,Hodgson,,Mrs Sharon Hodgson,Mrs Sharon Hodgson MP,Female,,,
Heather,Wheeler,Kay,Mrs Heather Wheeler,Mrs Heather Wheeler,Female,,,
Priti,Patel,Sushil,Priti Patel,Rt Hon Priti Patel MP,Female,,,
Harriet,Harman,,Baroness Harman,The Rt Hon. the Baroness Harman KC,Female,,,
Maria,Eagle,,Maria Eagle,Rt Hon Maria Eagle MP,Female,,,
Theresa,May,,Baroness May of Maidenhead,The Rt Hon. the Baroness May of Maidenhead,Female,,,
Rosie,Winterton,,Baroness Winterton of Doncaster,The Rt Hon. the Baroness Winterton of Doncaster DBE,Female,,,
Tracey,Crouch,Elizabeth Anne,Dame Tracey Crouch,Dame Tracey Crouch,Female,,,
Theresa,Villiers,Anne,Theresa Villiers,Rt Hon Theresa Villiers,Female,,,
Caroline,Dinenage,Julia,Dame Caroline Dinenage,Dame Caroline Dinenage MP,Female,,,
Andrea,Leadsom,Jacqueline,Andrea Leadsom,Rt Hon Andrea Leadsom,Female,,,
Karen,Buck,Patricia,Ms Karen Buck,Ms Karen Buck,Female,,,
Chloe,Smith,Rebecca,Chloe Smith,Rt Hon Chloe Smith,Female,,,
Helen,Grant,,Helen Grant,Helen Grant MP,Female,,,
Jacqueline,Doyle-Price,,Dame Jackie Doyle-Price,Dame Jackie Doyle-Price,Female,,,
Margaret,Beckett,,Baroness Beckett,The Rt Hon. the Baroness Beckett GBE,Female,,,
Dawn,Butler,Petula,Dawn Butler,Dawn Butler MP,Female,,,
Siobhain,McDonagh,Ann,Dame Siobhain McDonagh,Dame Siobhain McDonagh MP,Female,,,
Harriett,Baldwin,Mary Morison,Dame Harriett Baldwin,Dame Harriett Baldwin MP,Female,,,
Kerry,McCarthy,Gillian,Kerry McCarthy,Kerry McCarthy MP,Female,,,
Cheryl,Gillan,Elise Kendall,Dame Cheryl Gillan,Rt Hon Dame Cheryl Gillan,Female,,2021-04-04,
Caroline,Nokes,Fiona Ellen,Caroline Nokes,Rt Hon Caroline Nokes MP,Female,,,
Therese,Coffey,,Baroness Coffey,The Rt Hon. the Baroness Coffey DBE,Female,,,
Angela,Eagle,,Dame Angela Eagle,Dame Angela Eagle MP,Female,,,
Margaret,Hillier,Olivia,Dame Meg Hillier,Dame Meg Hillier MP,Female,,,
Barbara,Keeley,,Baroness Keeley,The Baroness Keeley,Female,,,
Rebecca,Harris,Elizabeth Scott,Rebecca Harris,Rebecca Harris MP,Female,,,
Diana,Johnson,Ruth,Dame Diana Johnson,Rt Hon Dame Diana Johnson MP,Female,,,
Yvette,Cooper,,Yvette Cooper,Rt Hon Yvette Cooper MP,Female,,,
Karen,Bradley,Anne,Dame Karen Bradley,Rt Hon Dame Karen Bradley MP,Female,,,
Eleanor,Laing,,Baroness Laing of Elderslie,The Rt Hon. the Baroness Laing of Elderslie DBE,Female,,,
Diane,Abbott,Julie,Ms Diane Abbott,Rt Hon Diane Abbott MP,Female,,,
Rosemary,Cooper,Elizabeth,Rosie Cooper,Rosie Cooper,Female,,,
Nia,Griffith,Rhiannon,Dame Nia Griffith,Dame Nia Griffith MP,Female,,,
