id_parliament,First name,Last name,Full name,Party,Government position,Phone,Parliamentary phone number,Constituency phone number,Parliamentary email address,Constituency email address
5120,Shockat,Adam,Shockat Adam,Independent,,0116 507 8089,,0116 507 8089,,
4790,Apsana,Begum,Apsana Begum,Independent,,0207 219 6826,0207 219 6826,,apsana.begum.mp@parliament.uk,
4357,Kirsty,Blackman,Kirsty Blackman,Scottish National Party,,020 7219 8791,020 7219 8791,Call: 01224 633285; Text: 07464 606650,kirsty.blackman.mp@parliament.uk,kirsty.blackman.mp@parliament.uk
185,Jeremy,Corbyn,Jeremy Corbyn,Independent,,020 7219 3545,020 7219 3545,,jeremy.corbyn.mp@parliament.uk,
5177,Ann,Davies,Ann Davies,Plaid Cymru,,01267 892442,,01267 892442,,
4736,Dave,Doogan,Dave Doogan,Scottish National Party,,0207 219 3000,0207 219 3000,01307 804 185,dave.doogan.mp@parliament.uk,
4846,Colum,Eastwood,Colum Eastwood,Social Democratic & Labour Party,,0207 219 3000,0207 219 3000,,colum.eastwood.mp@parliament.uk,
4735,Stephen,Flynn,Stephen Flynn,Scottish National Party,,01224 213114,,01224 213114,,
4434,Stephen,Gethins,Stephen Gethins,Scottish National Party,,01382 623200,,01382 623200,,
4827,Claire,Hanna,Claire Hanna,Social Democratic & Labour Party,,0207 219 3000,0207 219 3000,028 9099 6066,claire.hanna.mp@parliament.uk,
467,Lindsay,Hoyle,Sir Lindsay Hoyle,Speaker,,020 7219 3000,020 7219 3000,01257 271555,,Lindsay.hoyle.mp@parliament.uk
5231,Adnan,Hussain,Mr Adnan Hussain,Independent,,01254 643337,,01254 643337,,
5357,Ayoub,Khan,Ayoub Khan,Independent,,0121 798 1000,,0121 798 1000,,
4630,Ben,Lake,Ben Lake,Plaid Cymru,,01570 940 333,,01570 940 333,,
4403,Chris,Law,Chris Law,Scottish National Party,,01382 848906,,01382 848906,,
5280,Seamus,Logan,Seamus Logan,Scottish National Party,,01346 487013,,01346 487013,,
5268,Iqbal,Mohamed,Iqbal Mohamed,Independent,,07899 617148,,07899 617148,,
4371,Brendan,O'Hara,Brendan O'Hara,Scottish National Party,,020 7219 8783,020 7219 8783,,brendan.ohara.mp@parliament.uk,
5135,Oliver,Ryan,Oliver Ryan,Independent,,01282 216398,,01282 216398,,
4521,Liz,Saville Roberts,Liz Saville Roberts,Plaid Cymru,,020 7219 6876,020 7219 6876,01341 422 661,liz.savilleroberts.mp@parliament.uk,liz.savilleroberts.mp@parliament.uk
4786,Zarah,Sultana,Zarah Sultana,Independent,,0207 219 8079,0207 219 8079,0207 219 8079,zarah.sultana.mp@parliament.uk,coventrysouth@parliament.uk
1440,Pete,Wishart,Pete Wishart,Scottish National Party,,020 7219 8303,020 7219 8303,01738 639598,pete.wishart.mp@parliament.uk,
172,Diane,Abbott,Ms Diane Abbott,Labour,,020 7219 4426,020 7219 4426,,diane.abbott.office@parliament.uk,
4212,Debbie,Abrahams,Debbie Abrahams,Labour,,020 7219 1041,020 7219 1041,0161 624 4248,abrahamsd@parliament.uk,abrahamsd@parliament.uk
5213,Zubir,Ahmed,Dr Zubir Ahmed,Labour,,0141 266 0233,,0141 266 0233,,
5112,Luke,Akehurst,Luke Akehurst,Labour,,0191 371 8834,,0191 371 8834,,
4138,Rushanara,Ali,Rushanara Ali,Labour,,020 7219 7200,020 7219 7200,,rushanara.ali.mp@parliament.uk,
4573,Rosena,Allin-Khan,Dr Rosena Allin-Khan,Labour,,020 3621 2509,020 3621 2509,020 3621 2509,rosena.allinkhan.mp@parliament.uk,rosena@drrosena.co.uk
4788,Fleur,Anderson,Fleur Anderson,Labour,,0207 219 3000,0207 219 3000,,fleur.anderson.mp@parliament.uk,
4623,Tonia,Antoniazzi,Tonia Antoniazzi,Labour,,0207 219 1199,0207 219 1199,01792 899025,tonia.antoniazzi.mp@parliament.uk,
5212,Scott,Arthur,Dr Scott Arthur,Labour,,0131 322 3225,,0131 322 3225,,
5211,James,Asser,James Asser,Labour,,0208 103 6936,,0208 103 6936,,
5028,Lewis,Atkinson,Lewis Atkinson,Labour,,0191 565 5327,,0191 565 5327,,
5173,Alex,Baker,Alex Baker,Labour,,0207 219 4085,0207 219 4085,,alex.baker.mp@parliament.uk,
5048,Antonia,Bance,Antonia Bance,Labour,,0121 716 5233,,0121 716 5233,,
4828,Paula,Barker,Paula Barker,Labour,,0151 724 5767,,0151 724 5767,,
5175,Alex,Barros-Curtis,Mr Alex Barros-Curtis,Labour,,0207 219 6387,0207 219 6387,029 2078 6418,alex.barroscurtis.mp@parliament.uk,
5063,Johanna,Baxter,Johanna Baxter,Labour,,020 7219 8493,020 7219 8493,,johanna.baxter.mp@parliament.uk,
394,Clive,Betts,Mr Clive Betts,Labour,,020 7219 5114,020 7219 5114,0114 275 7788,officeofclivebettsmp@parliament.uk,
4864,Olivia,Blake,Olivia Blake,Labour,,0207 219 3552,0207 219 3552,,olivia.blake.mp@parliament.uk,
5257,Rachel,Blake,Rachel Blake,Labour (Co-op),,0207 219 6543,0207 219 6543,,rachel.blake.mp@parliament.uk,
5109,Chris,Bloore,Chris Bloore,Labour,,01527 362815,,01527 362815,,
5084,Elsie,Blundell,Mrs Elsie Blundell,Labour,,01706 436329,,01706 436329,,
5236,Jade,Botterill,Jade Botterill,Labour,,0207 219 7012,0207 219 7012,01924 208354,jade.botterill.mp@parliament.uk,jade.botterill.mp@parliament.uk
5128,Phil,Brickell,Phil Brickell,Labour,,01204 958436,,01204 958436,,
1446,Chris,Bryant,Chris Bryant,Labour,,020 7219 8315,020 7219 8315,01443 442521,chris.bryant.mp@parliament.uk,garethw.hughes@parliament.uk
5171,Julia,Buckley,Julia Buckley,Labour,,020 7219 7706,020 7219 7706,01743 650434,julia.buckley.mp@parliament.uk,
1489,Dawn,Butler,Dawn Butler,Labour,,020 7219 8591,020 7219 8591,,dawn.butler.mp@parliament.uk,
4831,Ian,Byrne,Ian Byrne,Labour,,0207 219 3000,0207 219 3000,0151 222 2345,ian.byrne.mp@parliament.uk,
1171,Liam,Byrne,Liam Byrne,Labour,,020 7219 6953,020 7219 6953,0121 789 7287,liam.byrne.mp@parliament.uk,
4389,Ruth,Cadbury,Ruth Cadbury,Labour,,020 7219 8590,020 7219 8590,0208 581 3646,ruthcadburymp@parliament.uk,ruth@ruthcadbury.org.uk
529,Alan,Campbell,Sir Alan Campbell,Labour,,020 7219 6619,020 7219 6619,0191 257 1927,alan.campbell.mp@parliament.uk,
5145,Irene,Campbell,Irene Campbell,Labour,,01294 493839,,01294 493839,,
4651,Dan,Carden,Dan Carden,Labour,,0207 219 6236,0207 219 6236,01512841160,dan.carden.mp@parliament.uk,
5235,Al,Carns,Al Carns,Labour,,07594 530309,,07594 530309,,
4267,Sarah,Champion,Sarah Champion,Labour,,01709 331035,,01709 331035,,
4610,Bambos,Charalambous,Bambos Charalambous,Labour,,0207 219 3460,0207 219 3460,,bambos.charalambous.mp@parliament.uk,
5199,Luke,Charters,Mr Luke Charters,Labour,,01904 463 444,,01904 463 444,,
4822,Feryal,Clark,Feryal Clark,Labour,,0208 804 4543,,0208 804 4543,,feryal.clark.mp@parliament.uk
5344,Ben,Coleman,Ben Coleman,Labour,,020 7381 2047,,020 7381 2047,,
5087,Tom,Collins,Tom Collins,Labour,,07543 467626,07543 467626,,tom.collins.mp@parliament.uk,
5132,Liam,Conlon,Liam Conlon,Labour,,020 8016 6604,,020 8016 6604,,
5088,Sarah,Coombes,Sarah Coombes,Labour,,020 7219 3445,020 7219 3445,0121 389 3982,sarah.coombes.mp@parliament.uk,
420,Yvette,Cooper,Yvette Cooper,Labour,,020 7219 5080,020 7219 5080,01977 553388,coopery@parliament.uk,coopery@parliament.uk
4368,Neil,Coyle,Neil Coyle,Labour,,020 7219 7650,020 7219 7650,020 7232 4640,neil.coyle.mp@parliament.uk,
5056,Jen,Craft,Jen Craft,Labour,,0207 219 7830,0207 219 7830,0207 219 7830,jen.craft.mp@parliament.uk,jen.craft.mp@parliament.uk
1579,Mary,Creagh,Mary Creagh,Labour,,0247 7180 425,,0247 7180 425,,
4088,Stella,Creasy,Ms Stella Creasy,Labour (Co-op),,020 7219 6980,020 7219 6980,020 8521 1223,stella.creasy.mp@parliament.uk,office@workingforwalthamstow.org.uk
4391,Judith,Cummins,Judith Cummins,Labour,,020 7219 8607,020 7219 8607,01274 924280,judith.cummins.mp@parliament.uk,judith.cummins.mp@parliament.uk
5118,Chris,Curtis,Chris Curtis,Labour,,01908 464531,,01908 464531,,
4698,Janet,Daby,Janet Daby,Labour,,02084 614733,,02084 614733,,
4056,Nicholas,Dakin,Sir Nicholas Dakin,Labour,,01724 500684,,01724 500684,,
4981,Ashley,Dalton,Ashley Dalton,Labour,,020 7219 0005,020 7219 0005,,ashley.dalton.mp@parliament.uk,
5317,Paul,Davies,Paul Davies,Labour,,01484 598600,,01484 598600,,
5041,Shaun,Davies,Shaun Davies,Labour,,01952 973 714,01952 973 714,,shaun.davies.mp@parliament.uk,
4849,Alex,Davies-Jones,Alex Davies-Jones,Labour,,0207 219 4981,0207 219 4981,01443 401122,alex.daviesjones.mp@parliament.uk,
4676,Marsha,De Cordova,Marsha De Cordova,Labour,,0207 219 0209,0207 219 0209,,marsha.decordova.mp@parliament.uk,
4976,Samantha,Dixon,Samantha Dixon,Labour,,020 7219 3000,020 7219 3000,01244 343 229,Samantha.dixon.mp@parliament.uk,
4657,Anneliese,Dodds,Anneliese Dodds,Labour (Co-op),,0207 219 2705,0207 219 2705,01865 595 790,anneliese.dodds.mp@parliament.uk,anneliese.dodds.casework@parliament.uk
4397,Peter,Dowd,Peter Dowd,Labour,,020 7219 8671,020 7219 8671,0151 933 8432,peter.dowd.mp@parliament.uk,
5359,Neil,Duncan-Jordan,Neil Duncan-Jordan,Labour,,01202 160740,01202 160740,01202 160740,neil.duncanjordan.mp@parliament.uk,
491,Angela,Eagle,Dame Angela Eagle,Labour,,020 7219 5057,020 7219 5057,0151 637 1979,eaglea@parliament.uk,
483,Maria,Eagle,Maria Eagle,Labour,,020 7219 0551,020 7219 0551,0151 448 1167,maria.eagle.mp@parliament.uk,
5298,Lauren,Edwards,Lauren Edwards,Labour,,0207 219 7667,,0207 219 7667,,
5001,Sarah,Edwards,Sarah Edwards,Labour,,01827 794 475,01827 794 475,01827 794 475,sarah.edwards.mp@parliament.uk,
165,Clive,Efford,Clive Efford,Labour,,020 7219 4057,020 7219 4057,020 8850 5744,,clive.efford.mp@parliament.uk
5228,Maya,Ellis,Maya Ellis,Labour,,01254 964055,01254 964055,01254 964055,maya.ellis.mp@parliament.uk,maya.ellis.casework@parliament.uk
4572,Chris,Elmore,Chris Elmore,Labour,,0207 219 3000,0207 219 3000,01656 860034,Chris.Elmore.mp@parliament.uk,Chris.Elmore.mp@parliament.uk
5095,Kirith,Entwistle,Kirith Entwistle,Labour,,0207 219 5696,0207 219 5696,01204 860027,kirith.entwistle.mp@parliament.uk,
4870,Florence,Eshalomi,Florence Eshalomi,Labour (Co-op),,0207 219 6552,0207 219 6552,,florence.eshalomi.mp@parliament.uk,
4061,Bill,Esterson,Bill Esterson,Labour,,020 7219 0463,020 7219 0463,0151 531 8433,bill.esterson.mp@parliament.uk,
5099,Miatta,Fahnbulleh,Miatta Fahnbulleh,Labour (Co-op),,02072197634,02072197634,,miatta.fahnbulleh.mp@parliament.uk,
5148,Hamish,Falconer,Mr Hamish Falconer,Labour,,01522 449638,01522 449638,01522 449638,hamish.falconer.mp@parliament.uk,
5031,Mark,Ferguson,Mark Ferguson,Labour,,0191 429 8200,,0191 429 8200,,
5190,Patricia,Ferguson,Patricia Ferguson,Labour,,0141 370 2324,,0141 370 2324,,
5053,Natalie,Fleet,Natalie Fleet,Labour,,0207 219 5665,0207 219 5665,,natalie.fleet.mp@parliament.uk,
5029,Emma,Foody,Emma Foody,Labour (Co-op),,0191 429 8750,,0191 429 8750,,
5074,Paul,Foster,Mr Paul Foster,Labour,,01772 364003,,01772 364003,,paul.foster.mp@parliament.uk
4491,Vicky,Foxcroft,Vicky Foxcroft,Labour,,020 7219 5934,020 7219 5934,020 8469 4638,vicky.foxcroft.mp@parliament.uk,
5184,Daniel,Francis,Daniel Francis,Labour,,0207 219 5278,0207 219 5278,,daniel.francis.mp@parliament.uk,
4571,Gill,Furniss,Gill Furniss,Labour,,0207 219 0364,0207 219 0364,0114 234 9079,gill.furniss.mp@parliament.uk,
146,Barry,Gardiner,Barry Gardiner,Labour,,020 7219 4046,020 7219 4046,,barry.gardiner.mp@parliament.uk,
5353,Anna,Gelderd,Anna Gelderd,Labour,,0778 3636 284,,0778 3636 284,,
5185,Alan,Gemmell,Alan Gemmell,Labour,,01294 448 605,,01294 448 605,,alan.gemmell.mp@parliament.uk
5181,Becky,Gittins,Becky Gittins,Labour,,01352 871130,,01352 871130,,becky.gittins.mp@parliament.uk
4126,Mary,Glindon,Mary Glindon,Labour,,020 7219 3000,020 7219 3000,0191 234 2493,mary.glindon.mp@parliament.uk,
5036,Jodie,Gosling,Jodie Gosling,Labour,,020 7219 2421,020 7219 2421,,jodie.gosling.mp@parliament.uk,
5305,Georgia,Gould,Georgia Gould,Labour,,020 8968 7999,020 8968 7999,,georgia.gould.mp@parliament.uk,
5170,John,Grady,John Grady,Labour,,0141 737 1115,,0141 737 1115,,
1541,Nia,Griffith,Dame Nia Griffith,Labour,,020 7219 4903,020 7219 4903,01554 756374,nia.griffith.mp@parliament.uk,
415,Fabian,Hamilton,Fabian Hamilton,Labour,,020 7219 3493,020 7219 3493,0113 249 6600,fabian.hamilton.mp@parliament.uk,fabian.hamilton.mp@parliament.uk
4938,Paulette,Hamilton,Paulette Hamilton,Labour,,0121 306 4275,,0121 306 4275,,paulette.hamilton.mp@parliament.uk
4645,Emma,Hardy,Emma Hardy,Labour,,01482 219211,,01482 219211,,
4480,Carolyn,Harris,Carolyn Harris,Labour,,020 7219 4316,020 7219 4316,01792 462054,carolyn.harris.mp@parliament.uk,
4510,Helen,Hayes,Helen Hayes,Labour,,020 7219 6971,020 7219 6971,,helen.hayes.mp@parliament.uk,
5210,Tom,Hayes,Tom Hayes,Labour,,01202 029181,,01202 029181,,
400,John,Healey,John Healey,Labour,,020 7219 4031,020 7219 4031,01709 875943,john.healey.mp@parliament.uk,john.healey.mp@parliament.uk
473,Mark,Hendrick,Sir Mark Hendrick,Labour (Co-op),,020 7219 4791,020 7219 4791,01772 883575,mark.hendrick.mp@parliament.uk,
1524,Meg,Hillier,Dame Meg Hillier,Labour (Co-op),,020 7219 5325,020 7219 5325,,meghilliermp@parliament.uk,
5244,Chris,Hinchliff,Chris Hinchliff,Labour,,01462 415153,,01462 415153,,
1521,Sharon,Hodgson,Mrs Sharon Hodgson,Labour,,020 7219 5160,020 7219 5160,0191 417 2000,sharon.hodgson.mp@parliament.uk,sharon.hodgson.mp@parliament.uk
4873,Rachel,Hopkins,Rachel Hopkins,Labour,,0207 219 8424,0207 219 8424,01582 457774,rachel.hopkins.mp@parliament.uk,
4511,Rupa,Huq,Dr Rupa Huq,Labour,,020 7219 6865,020 7219 6865,,rupa.huq.mp@parliament.uk,
4394,Imran,Hussain,Imran Hussain,Labour,,020 7219 8636,020 7219 8636,01274 231527,imran.hussain.mp@parliament.uk,
5290,Leigh,Ingham,Leigh Ingham,Labour,,020 7219 7757,020 7219 7757,01785 59 49 49,leigh.ingham.mp@parliament.uk,
5119,Natasha,Irons,Natasha Irons,Labour,,020 7219 6733,020 7219 6733,020 8191 2482,natasha.irons.mp@parliament.uk,
5178,Sally,Jameson,Sally Jameson,Labour (Co-op),,020 7219 7105,020 7219 7105,01302 326297,sally.jameson.mp@parliament.uk,
4243,Dan,Jarvis,Dan Jarvis,Labour,,0207 219 1082,0207 219 1082,01226 787893,dan.jarvis.mp@parliament.uk,dan.jarvis.mp@parliament.uk
1533,Diana,Johnson,Dame Diana Johnson,Labour,,020 7219 5647,020 7219 5647,01482 319135,johnsond@parliament.uk,johnsond@parliament.uk
4824,Kim,Johnson,Kim Johnson,Labour,,0207 219 3000,0207 219 3000,0151 709 4120,kim.johnson.mp@parliament.uk,
4621,Darren,Jones,Darren Jones,Labour,,0207 219 5225,0207 219 5225,0117 959 6545,darren.jones.mp@parliament.uk,
4501,Gerald,Jones,Gerald Jones,Labour,,020 7219 5874,020 7219 5874,01685 383 739,gerald.jones.mp@parliament.uk,gerald.jones.mp@parliament.uk
5258,Louise,Jones,Louise Jones,Labour,,01246 439120,,01246 439120,,
4716,Ruth,Jones,Ruth Jones,Labour,,020 7219 8921,020 7219 8921,01633 256268,ruth.jones.mp@parliament.uk,
5247,Sojan,Joseph,Sojan Joseph,Labour,,020 7219 4535,020 7219 4535,01233 515107,sojan.joseph.mp@parliament.uk,
5230,Warinder,Juss,Warinder Juss,Labour,,01902 902040,,01902 902040,,
4603,Preet,Kaur Gill,Preet Kaur Gill,Labour (Co-op),,0207 219 2879,0207 219 2879,0121 392 8426,preet.gill.mp@parliament.uk,
4753,Mary,Kelly Foy,Mary Kelly Foy,Labour,,0207 219 3000,0207 219 3000,0191 374 1915,mary.foy.mp@parliament.uk,
4026,Liz,Kendall,Liz Kendall,Labour,,020 7219 3000,020 7219 3000,0116 204 4980,liz.kendall.mp@parliament.uk,
4671,Afzal,Khan,Afzal Khan,Labour,,020 7219 3570,020 7219 3570,0161 226 5546,afzal.khan.mp@parliament.uk,afzal.khan.mp@parliament.uk
4359,Stephen,Kinnock,Stephen Kinnock,Labour,,020 7219 8801,020 7219 8801,,stephen.kinnock.mp@parliament.uk,
5274,Sonia,Kumar,Sonia Kumar,Labour,,01384 885959,,01384 885959,,
4505,Peter,Kyle,Peter Kyle,Labour,,020 7219 1897,020 7219 1897,01273 933 380,peter.kyle.mp@parliament.uk,hove.portslade@parliament.uk
4139,Ian,Lavery,Ian Lavery,Labour,,020 7219 3000,020 7219 3000,01670 852494,ian.lavery.mp@parliament.uk,
5302,Noah,Law,Noah Law,Labour,,020 7219 7751,020 7219 7751,,noah.law.mp@parliament.uk,
4923,Kim,Leadbeater,Kim Leadbeater,Labour,,020 7219 4594,020 7219 4594,01924 975758,kim.leadbeater.mp@parliament.uk,
4277,Emma,Lewell,Emma Lewell,Labour,,020 7219 4468,020 7219 4468,0191 427 1240,emma.lewell-buck.mp@parliament.uk,
5061,Andrew,Lewin,Andrew Lewin,Labour,,01707 912 213,,01707 912 213,,
4500,Clive,Lewis,Clive Lewis,Labour,,0207 219 2700,0207 219 2700,0207 219 2700,clive.lewis.mp@parliament.uk,casework@clivelewis.org
4943,Simon,Lightwood,Simon Lightwood,Labour (Co-op),,01924 682269,,01924 682269,,
4396,Rebecca,Long Bailey,Rebecca Long Bailey,Labour,,0161 425 3738,,0161 425 3738,,
5134,Andy,MacNae,Andy MacNae,Labour,,01706 489387,,01706 489387,,
3914,Shabana,Mahmood,Shabana Mahmood,Labour,,0121 661 9440,0121 661 9440,,shabana.mahmood.mp@parliament.uk,
5057,Douglas,McAllister,Douglas McAllister,Labour,,0141 286 0290,,0141 286 0290,,
1491,Kerry,McCarthy,Kerry McCarthy,Labour,,020 7219 4510,020 7219 4510,0117 939 9901,kerry.mccarthy.mp@parliament.uk,
5129,Martin,McCluskey,Martin McCluskey,Labour,,020 7219 8353,020 7219 8353,01475 789223,martin.mccluskey.mp@parliament.uk,
193,Siobhain,McDonagh,Dame Siobhain McDonagh,Labour,,020 7219 4678,020 7219 4678,020 8542 4835,mcdonaghs@parliament.uk,siobhain@mmlp.org.uk
4269,Andy,McDonald,Andy McDonald,Labour,,020 7219 4995,020 7219 4995,01642 246574,andy.mcdonald.2nd@parliament.uk,
5037,Lola,McEvoy,Lola McEvoy,Labour,,01325 526655,,01325 526655,,
1587,Pat,McFadden,Pat McFadden,Labour,,020 7219 4036,020 7219 4036,01902 405762,mcfaddenp@parliament.uk,
4083,Alison,McGovern,Alison McGovern,Labour,,020 7219 7190,020 7219 7190,0151 645 6590,alison.mcgovern.mp@parliament.uk,
5189,Gordon,McKee,Gordon McKee,Labour,,0141 737 8656,,0141 737 8656,,
4125,Catherine,McKinnell,Catherine McKinnell,Labour,,020 7219 7115,020 7219 7115,0191 229 0352,catherine.mckinnell.mp@parliament.uk,
5038,Anneliese,Midgley,Anneliese Midgley,Labour,,0151 305 9026,,0151 305 9026,,
1510,Ed,Miliband,Ed Miliband,Labour,,020 7219 7318,020 7219 7318,01302875462,ed.miliband.mp@parliament.uk,
5094,Julie,Minns,Ms Julie Minns,Labour,,020 7219 1306,020 7219 1306,01228 479441,julie.minns.mp@parliament.uk,Julie.minns.casework@parliament.uk
4811,Navendu,Mishra,Navendu Mishra,Labour,,0161 480 0833,,0161 480 0833,,
1548,Jessica,Morden,Jessica Morden,Labour,,020 7219 6213,020 7219 6213,01633 841725,mordenj@parliament.uk,
4653,Stephen,Morgan,Stephen Morgan,Labour,,0207 219 3906,0207 219 3906,023 9229 1088,stephen.morgan.mp@parliament.uk,
3973,Grahame,Morris,Grahame Morris,Labour,,020 7219 1283,020 7219 1283,0191 527 9091,grahame.morris.mp@parliament.uk,
5272,Margaret,Mullane,Margaret Mullane,Labour,,020 8984 7854,020 8984 7854,,margaret.mullane.mp@parliament.uk,
3966,Ian,Murray,Ian Murray,Labour,,020 7219 7064,020 7219 7064,0131 662 4520,ian.murray.mp@parliament.uk,ian.murray.mp@parliament.uk
4797,James,Murray,James Murray,Labour (Co-op),,020 7219 3931,020 7219 3931,,james.murray.mp@parliament.uk,
5309,Katrina,Murray,Katrina Murray,Labour,,01236 800123,,01236 800123,,
5047,James,Naish,James Naish,Labour,,0115 646 6404,,0115 646 6404,,
5034,Josh,Newbury,Josh Newbury,Labour,,01543 384681,01543 384681,,josh.newbury.mp@parliament.uk,
4799,Charlotte,Nichols,Charlotte Nichols,Labour,,0207 219 3000,0207 219 3000,,charlotte.nichols.mp@parliament.uk,
4464,Melanie,Onn,Melanie Onn,Labour,,020 7219 7185,020 7219 7185,01472 352490,melanie.onn.mp@parliament.uk,
4124,Chi,Onwurah,Dame Chi Onwurah,Labour,,020 7219 7114,020 7219 7114,0191 232 5838,chi.onwurah.mp@parliament.uk,
4820,Abena,Oppong-Asare,Ms Abena Oppong-Asare,Labour,,0207 219 4892,0207 219 4892,01322 342991,,abena.oppongasare.mp@parliament.uk
4515,Kate,Osamor,Kate Osamor,Labour (Co-op),,020 7219 6602,020 7219 6602,,kate.osamor.mp@parliament.uk,
