id_parliament,First name,Last name,Full name,Party,Government position,Phone,Parliamentary phone number,Constituency phone number,Parliamentary email address,Constituency email address
4340,Lord,Cashman,Lord Cashman,Non-affiliated,,020 7219 6533,020 7219 6533,,cashmanm@parliament.uk,
2685,Lord,Dholakia,Lord Dholakia,Liberal Democrat,,020 7219 5203,020 7219 5203,,dholakian@parliament.uk,
4163,Lord,German,Lord German,Liberal Democrat,,020 7219 6942,020 7219 6942,,germanm@parliament.uk,
4337,Baroness,Janke,Baroness Janke,Liberal Democrat,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
1588,Baroness,Keeley,Baroness Keeley,Labour,,020 7219 5353,020 7219 5353,,keeleyb@parliament.uk,
1987,Baroness,Kennedy of The Shaws,Baroness Kennedy of The Shaws,Labour,,01708 379482,01708 379482,,hilary.hard@btinternet.com,
3810,Baroness,Meacher,Baroness Meacher,Crossbench,,020 7219 3000,020 7219 3000,,meachermc@parliament.uk,
2476,Baroness,Prashar,Baroness Prashar,Crossbench,,020 7219 6792,020 7219 6792,,prasharu@parliament.uk,
4894,Baroness,Shafik,Baroness Shafik,Crossbench,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
4147,Baroness,Sherlock,Baroness Sherlock,Labour,Minister of State,020 7219 5353,020 7219 5353,,sherlockm@parliament.uk,
2510,Baroness,Whitaker,Baroness Whitaker,Labour,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
4705,Anderson,of Ipswich,Lord Anderson of Ipswich,Crossbench,,020 7219 5353,020 7219 5353,,andersondw@parliament.uk,
738,Alton,of Liverpool,Lord Alton of Liverpool,Crossbench,,020 7219 3551,020 7219 3551,,altond@parliament.uk,
4719,Baroness,Bennett of Manor Castle,Baroness Bennett of Manor Castle,Green Party,,020 7219 5353,020 7219 5353,,bennettn@parliament.uk,
3898,Lord,Aberdare,Lord Aberdare,Crossbench,,020 7219 6861,020 7219 6861,,aberdarea@parliament.uk,
631,Baroness,Adams of Craigielea,Baroness Adams of Craigielea,Labour,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
3453,Lord,Addington,Lord Addington,Liberal Democrat,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
2175,Lord,Adebowale,Lord Adebowale,Crossbench,,020 7219 5353,020 7219 5353,,contactholmember@parliament.uk,
3743,Lord,Adonis,Lord Adonis,Labour,,020 7219 3000,020 7219 3000,,adonisa@parliament.uk,
5394,Baroness,Alexander of Cleveden,Baroness Alexander of Cleveden,Labour,,020 7219 5353,020 7219 5353,,alexanderw@parliament.uk,
